id,title,authors,venue,year,row_id,cluster_id
1,Deep Learning for Natural Language Processing,John Smith,NIPS,2020,0,0.0
2,Neural Networks in Computer Vision,Jane Doe,ICCV,2019,1,0.0
3,Machine Learning Applications,Bob Johnson,ICML,2021,2,0.0
4,Deep Learning for Natural Language Processing,J. Smith,NIPS,2020,3,0.0
5,Computer Vision with Deep Learning,Alice Brown,CVPR,2020,4,0.0
6,Natural Language Processing with Neural Networks,Mike Wilson,ACL,2019,5,0.0
7,Deep Learning for NLP,John Smith,NIPS,2020,6,0.0
8,Vision-based Machine Learning,Carol Davis,ICCV,2021,7,0.0
9,Neural Networks in CV,Jane Doe,ICCV,2019,8,0.0
10,Advanced Machine Learning,Bob Johnson,ICML,2021,9,0.0
11,Deep Learning Applications,Tom Anderson,AAAI,2022,10,0.0
12,Computer Vision Algorithms,Alice Brown,CVPR,2020,11,0.0
13,NLP with Deep Learning,Mike Wilson,ACL,2019,12,0.0
14,Machine Learning in Healthcare,Sarah Lee,JMIR,2021,13,0.0
15,Deep Learning for Natural Language Processing,John Smith,NEURIPS,2020,14,0.0
16,Reinforcement Learning,David Kim,ICML,2020,15,0.0
17,Computer Vision with DL,Alice Brown,CVPR,2020,16,0.0
18,Healthcare AI Applications,Sarah Lee,JMIR,2021,17,0.0
19,Neural Machine Translation,Emma Watson,EMNLP,2021,18,0.0
20,Deep Reinforcement Learning,David Kim,ICML,2020,19,0.0
21,Medical AI Systems,Dr. Sarah Lee,JMIR,2021,20,0.0
22,Translation with Neural Networks,Emma Watson,EMNLP,2021,21,0.0
23,Graph Neural Networks,Chris Taylor,ICLR,2022,22,0.0
24,Attention Mechanisms,Lisa Garcia,ICLR,2021,23,0.0
25,Transformer Models,Robert Chen,ICLR,2020,24,0.0
26,Graph Neural Networks,Christopher Taylor,ICLR,2022,25,0.0
27,Attention in Deep Learning,Lisa Garcia,ICLR,2021,26,0.0
28,Transformers for NLP,Robert Chen,ICLR,2020,27,0.0
29,Generative Adversarial Networks,Michael Johnson,ICML,2019,28,0.0
30,GAN Applications,Michael Johnson,ICML,2019,29,0.0
31,Image Generation with GANs,Patricia Wong,NIPS,2020,30,0.0
32,Generative Models,Patricia Wong,NIPS,2020,31,0.0
33,Federated Learning,James Miller,AAAI,2021,32,0.0
34,Privacy-Preserving ML,James Miller,AAAI,2021,33,0.0
35,Distributed Machine Learning,Kevin Zhang,ICDM,2021,34,0.0
36,Federated Learning Systems,James Miller,AAAI,2021,35,0.0
37,Edge Computing for ML,Kevin Zhang,ICDM,2021,36,0.0
38,AutoML Systems,Rachel Green,KDD,2022,37,0.0
39,Automated Machine Learning,Rachel Green,KDD,2022,38,0.0
40,Neural Architecture Search,Daniel Park,ICLR,2021,39,0.0
