id,row_id,title,authors,venue,year,pages,volume,issue,doi,isbn,publisher,institution,country,language,keywords,abstract,funding,citation_count,h_index,impact_factor,open_access,conference_type,peer_reviewed
1,1,Networks for Classification: A Survey,"Jessica H. Martin; Daniel H.; Moore, James",International Conference on Machine Learning,2016,407-422,35,2,10.7912/1533224,978-0-195-38657-3,Cambridge University Press,Columbia,USA,Chinese,"data mining, ai, statistics, computer vision",This paper presents a novel approach to networks using advanced techniques. Our method shows significant improvements over existing approaches.,Google,233,62,6.1,True,National,False
2,2,Networks for Classification Revisited,Jessica Martin; D. Harris; J. X. Moore,International Conference on Machine Learning,2016,347-880,35,2,10.7912/1533224,978-0-195-38657-3,Cambridge University Press,Columbia,USA,Chinese,"data mining, ai, statistics, computer vision",This paper presents a novel approach to networks using advanced techniques. Our method shows significant improvements over existing approaches.,Google,216,62,6.1,True,National,False
3,3,Networks for Classification: A Survey,"Jessica M.; D. S. Harris; Moore, J.",ICML,2017,476-496,35,2,,978-0-195-38657-3,Cambridge University Press,Columbia,USA,Chinese,"data mining, ai, statistics, computer vision",This paper presents a novel approach to networks using advanced techniques. Our method shows significant improvements over existing approaches.,Google,263,62,6.1,True,National,False
4,4,A Networks for Classification,"Martin, Jessica; Harris, Daniel; Moore, J.",International Conference on Machine Learning,2015,321-350,35,2,10.7912/1533224,978-0-195-38657-3,Cambridge University Press,Columbia,USA,Chinese,"data mining, ai, statistics, computer vision",This paper presents a new method to networks using advanced techniques. Our method shows better performance over existing approaches.,Google,187,62,6.1,True,National,False
5,5,A Bioinformatics for Prediction,G. Edwards; M. R.,International Joint Conference on Artificial Intelligence,2017,48-695,7,6,10.6635/5437923,978-0-847-70217-8,ACM,Apple,Canada,Chinese,"statistics, ai, optimization, data mining, nlp",This paper presents a new method to bioinformatics using advanced techniques. Our method shows better performance over existing approaches.,EPSRC,718,13,0.94,True,Regional,True
6,6,Bioinformatics for Prediction: A Survey,Gary E. Edwards; Michelle R.,IJCAI,2015,48-695,7,6,10.6635/5437923,978-0-847-70217-8,ACM,Apple,Canada,Chinese,"ai, optimization, nlp, data mining, statistics",This paper presents a new method to bioinformatics using advanced techniques. Our method shows better performance over existing approaches.,EPSRC,683,13,0.94,True,Regional,True
7,7,Towards Reinforcement Learning for Classification,"Amanda D. Garcia; Angela L. King; Paul M.; Rogers, Madison",ICDE,2020,84-690,23,4,10.5374/2197935,978-9-750-32431-8,Taylor & Francis,OpenAI,UK,English,"clustering, ai, data mining, computer vision, classification, optimization",This paper presents a new method to reinforcement learning using advanced techniques. Our method shows better performance over existing approaches.,NIH,268,9,8.15,False,Regional,True
8,8,A Reinforcement Learning for Classification,A. G.; Angela X. King; Paul Mitchell; M. R.,International Conference on Data Engineering,2020,84-690,23,4,10.5374/2197935,978-9-750-32431-8,Taylor & Francis,OpenAI,UK,English,"clustering, ai, data mining, computer vision, classification, optimization",This paper presents a new method to reinforcement learning using advanced techniques. Our method shows better performance over existing approaches.,NIH,230,9,8.15,False,Regional,True
9,9,NN for Enhancement,Ashley M. White; Mia P.; B. Y. Lopez,VLDB,2020,111-123,42,8,10.3340/5443951,978-2-352-83579-8,Nature,University of Cambridge,Netherlands,English,"analysis, computer vision, neural networks, deep learning, classification, optimization, prediction",This paper presents a novel approach to neural networks using advanced techniques. Our method shows significant improvements over existing approaches.,NIH,899,19,1.95,True,Workshop,True
10,10,Neural Networks for Enhancement Revisited,"White, Ashley; Perez, Mia; B. L.",VLDB,2021,453-969,42,8,10.3340/5443951,978-2-352-83579-8,Nature,University of Cambridge,Netherlands,English,"analysis, neural networks, optimization, prediction, deep learning, classification, computer vision",This paper presents a new method to neural networks using advanced techniques. Our method shows better performance over existing approaches.,NIH,909,19,1.95,True,Workshop,True
